List,Card Title,Priority,Labels,Test Command,Description
Performance + Security,Optimize list and search endpoints,P1,"Backend,Database,Performance,Tests",npm run test:perf,"Goal:
Meet p95 performance budgets for order list, filtered list, and search.

Implementation notes:
- Use indexes, limit/offset efficiently, and avoid N+1 joins.

Acceptance criteria:
- GET /api/orders p95 < 100ms.
- GET /api/orders?status=pending&sort=created_at p95 < 200ms.
- GET /api/orders?search=hydraulic p95 < 300ms.

Commit after:
npm run git:slice -- ""optimize list and search endpoints"" ""npm run test:perf"""
Performance + Security,"Optimize stats, performance, and anomalies endpoints",P1,"Backend,Database,Performance,Tests",npm run test:perf,"Goal:
Meet p95 performance budgets for heavier endpoints.

Implementation notes:
- Prefer SQL aggregations.
- Add caching only if necessary and safe.

Acceptance criteria:
- GET /api/orders/stats p95 < 500ms.
- GET /api/suppliers/sup_042/performance p95 < 500ms.
- GET /api/orders/anomalies p95 < 1000ms.

Commit after:
npm run git:slice -- ""optimize stats, performance, and anomalies endpoints"" ""npm run test:perf"""
Performance + Security,Verify data completeness,P0,"Backend,Database,Tests",npm run test:perf,"Goal:
Ensure tests see the full imported dataset.

Implementation notes:
- Run import from clean DB before checking.

Acceptance criteria:
- Orders total matches expected count.
- Suppliers total matches expected count.
- Products total matches expected count if tested.

Commit after:
npm run git:slice -- ""verify data completeness"" ""npm run test:perf"""
Performance + Security,Pass performance and security suites,P0,Tests,npm run test:perf && npm run test:security,"Goal:
Run and fix performance and security test suites.

Implementation notes:
- Keep all previous suites passing.

Acceptance criteria:
- Performance tests pass.
- Security tests pass.
- Commit and push the slice.

Commit after:
npm run git:slice -- ""pass performance and security suites"" ""npm run test:perf && npm run test:security"""
Frontend,Bootstrap React TypeScript frontend shell,P2,"Frontend,Tooling",npm run build,"Goal:
Create the frontend app shell, layout, navigation, and API client wiring.

Implementation notes:
- Frontend consumes the backend API.
- Keep design clean and assignment-focused.

Acceptance criteria:
- App loads in browser.
- Navigation exists for Orders, Dashboard, Suppliers.
- Build passes.

Commit after:
npm run git:slice -- ""bootstrap react typescript frontend shell"" ""npm run build"""
Frontend,Create typed frontend API client,P2,"Frontend,Backend",npm run build,"Goal:
Centralize API calls and typed responses.

Implementation notes:
- Include loading/error helper patterns.
- Support all endpoints needed by frontend views.

Acceptance criteria:
- Client supports orders list/detail/patch.
- Client supports suppliers/products.
- Client supports stats/performance.
- Client supports bulk actions and jobs.
- Client handles API errors.

Commit after:
npm run git:slice -- ""create typed frontend api client"" ""npm run build"""
Frontend,Build orders table view,P2,Frontend,npm run build,"Goal:
Create paginated server-side orders table.

Implementation notes:
- Use backend pagination/filtering/sorting.
- Keep table usable with 50,000 records.

Acceptance criteria:
- Shows order rows.
- Supports server-side pagination.
- Sortable columns.
- Friendly empty/loading/error states.

Commit after:
npm run git:slice -- ""build orders table view"" ""npm run build"""
Frontend,Build filters and search UI,P2,Frontend,npm run build,"Goal:
Add filter controls to the orders table.

Implementation notes:
- Filters: status, priority, supplier, warehouse, date range.
- Search product names.
- Sync controls to API query params.

Acceptance criteria:
- Filters call server-side API.
- Search works.
- Clear filters works.
- Empty state is meaningful.

Commit after:
npm run git:slice -- ""build filters and search ui"" ""npm run build"""
Frontend,Build bulk action UX,P2,"Frontend,Backend",npm run build,"Goal:
Allow multi-select orders and bulk approve/reject/flag actions with job progress.

Implementation notes:
- Use /api/orders/bulk-action or compatible alias.
- Poll /api/jobs/:id.

Acceptance criteria:
- Rows can be selected.
- User chooses action.
- Confirmation step exists.
- Progress is displayed.
- Completed/failed counts shown.

Commit after:
npm run git:slice -- ""build bulk action ux"" ""npm run build"""
Frontend,Build analytics dashboard,P2,Frontend,npm run build,"Goal:
Show charts/cards from /api/orders/stats.

Implementation notes:
- Minimum: status distribution, monthly volume trend, top suppliers by revenue.

Acceptance criteria:
- Stats are loaded from API.
- Charts or readable visual summaries exist.
- Loading/error/empty states exist.

Commit after:
npm run git:slice -- ""build analytics dashboard"" ""npm run build"""
Frontend,Build supplier detail view,P2,Frontend,npm run build,"Goal:
Create supplier detail page with performance metrics and order history.

Implementation notes:
- Click a supplier from suppliers list or dashboard to open detail page.

Acceptance criteria:
- Shows supplier info.
- Shows order_count and total_revenue.
- Shows performance metrics.
- Shows supplier order history.

Commit after:
npm run git:slice -- ""build supplier detail view"" ""npm run build"""
Frontend,Frontend polish and safety pass,P2,"Frontend,Security,Polish",npm run build,"Goal:
Improve visual polish and ensure safe rendering.

Implementation notes:
- No raw HTML rendering of notes.
- Make the dashboard pleasant and readable.

Acceptance criteria:
- Consistent spacing/buttons/background.
- All views have loading/error/empty states.
- Notes render as plain text.
- Responsive enough for laptop browser.

Commit after:
npm run git:slice -- ""frontend polish and safety pass"" ""npm run build"""
Documentation + Submission,Write ARCHITECTURE.md,P0,Docs,manual,"Goal:
Document the system architecture and tradeoffs.

Implementation notes:
- Be concise but interview/reviewer friendly.
- Explain why choices were made.

Acceptance criteria:
- Explains project structure.
- Explains database schema.
- Explains indexing strategy.
- Explains concurrency handling.
- Explains background processing.
- Explains realtime events.
- Explains tradeoffs.

Commit after:
npm run git:slice -- ""write architecture.md"" ""manual"""
Documentation + Submission,Write ANOMALY_STRATEGY.md,P0,Docs,manual,"Goal:
Document anomaly detection rules, severity, findings, and future improvements.

Implementation notes:
- Use actual findings from CSV exploration.

Acceptance criteria:
- Required rules described.
- Bonus rules described.
- Severity logic described.
- Data patterns discovered.
- Improvements with more time listed.

Commit after:
npm run git:slice -- ""write anomaly_strategy.md"" ""manual"""
Documentation + Submission,Create final runbook,P1,"Docs,Tooling",manual,"Goal:
Create a short reviewer-friendly runbook for setup, import, start, and tests.

Implementation notes:
- Could be in README addition or docs/RUNBOOK.md if not modifying assignment README.

Acceptance criteria:
- Includes docker-compose up.
- Includes install/build commands.
- Includes data import command.
- Includes server start command.
- Includes test commands.

Commit after:
npm run git:slice -- ""create final runbook"" ""manual"""
Documentation + Submission,Run final test sweep and grade,P0,"Tests,Docs",npm run grade,"Goal:
Run the final test and grading flow from a clean DB state.

Implementation notes:
- Re-import data before final run.
- Do not commit huge test artifacts unless requested.

Acceptance criteria:
- Basic/filter/agg/anomaly/bulk/concurrent/perf/realtime/security pass as much as possible.
- Grade report reviewed.
- Known failures documented if any.

Commit after:
npm run git:slice -- ""run final test sweep and grade"" ""npm run grade"""
Documentation + Submission,Submission cleanup and final commit,P0,"Docs,Tooling",npm run git:status,"Goal:
Prepare final repository state for submission.

Implementation notes:
- Check git status, ignored files, and accidental test/data changes.

Acceptance criteria:
- No secrets committed.
- No node_modules committed.
- No data/tests modified.
- Git history has small meaningful commits.
- Final commit/push done.

Commit after:
npm run git:slice -- ""submission cleanup and final commit"" ""npm run git:status"""
Done,Move completed cards here,P3,Tooling,manual,"Goal:
Use this list for finished Trello cards after implementation and verification.

Implementation notes:
- This is a placeholder card only if your Trello import requires at least one card in Done.

Acceptance criteria:
- Completed cards are moved here after tests pass and slice is committed.

Commit after:
npm run git:slice -- ""move completed cards here"" ""manual"""
